Date,"Monday, February 13, 2023"
,
Trail,3
Seconds - s,30
Starting Temp - C,182.5 +- 0.2
Ending Temp - C,
Retarding Voltage - V,1.5025 +- 0.0005
Result,Success
,
time (s),V2 Potential
11.24,1.850061
11.26,1.850061
11.28,1.864713
11.3,1.869597
11.32,1.869597
11.34,1.874481
11.36,1.869597
11.38,1.874481
11.4,1.879365
11.42,1.884249
11.44,1.884249
11.46,1.889133
11.48,1.894017
11.5,1.898901
11.52,1.903785
11.54,1.908669
11.56,1.908669
11.58,1.908669
11.6,1.913553
11.62,1.913553
11.64,1.918437
11.66,1.923321
11.68,1.923321
11.7,1.923321
11.72,1.928205
11.74,1.933089
11.76,1.937973
11.78,1.942857
11.8,1.947741
11.82,1.947741
11.84,1.947741
11.86,1.952625
11.88,1.957509
11.9,1.957509
11.92,1.957509
11.94,1.962393
11.96,1.962393
11.98,1.967277
12,1.972161
12.02,1.977045
12.04,1.981929
12.06,1.981929
12.08,1.986813
12.1,1.986813
12.12,1.991697
12.14,1.996581
12.16,1.996581
12.18,1.996581
12.2,2.011233
12.22,2.001465
12.24,2.011233
12.26,2.011233
12.28,2.016117
12.3,2.016117
12.32,2.025885
12.34,2.030769
12.36,2.030769
12.38,2.030769
12.4,2.035653
12.42,2.035653
12.44,2.040537
12.46,2.050305
12.48,2.045421
12.5,2.050305
12.52,2.050305
12.54,2.060073
12.56,2.060073
12.58,2.064957
12.6,2.069841
12.62,2.069841
12.64,2.069841
12.66,2.069841
12.68,2.079609
12.7,2.079609
12.72,2.084493
12.74,2.089377
12.76,2.089377
12.78,2.089377
12.8,2.099145
12.82,2.104029
12.84,2.108913
12.86,2.108913
12.88,2.108913
12.9,2.104029
12.92,2.113797
12.94,2.118681
12.96,2.123565
12.98,2.128449
13,2.128449
13.02,2.128449
13.04,2.138218
13.06,2.138218
13.08,2.143102
13.1,2.143102
13.12,2.147986
13.14,2.147986
13.16,2.157754
13.18,2.147986
13.2,2.157754
13.22,2.162638
13.24,2.157754
13.26,2.162638
13.28,2.167522
13.3,2.17729
13.32,2.17729
13.34,2.182174
13.36,2.182174
13.38,2.187058
13.4,2.191942
13.42,2.191942
13.44,2.196826
13.46,2.20171
13.48,2.196826
13.5,2.196826
13.52,2.20171
13.54,2.206594
13.56,2.216362
13.58,2.216362
13.6,2.216362
13.62,2.22613
13.64,2.22613
13.66,2.231014
13.68,2.235898
13.7,2.235898
13.72,2.235898
13.74,2.240782
13.76,2.240782
13.78,2.245666
13.8,2.245666
13.82,2.255434
13.84,2.255434
13.86,2.260318
13.88,2.260318
13.9,2.265202
13.92,2.270086
13.94,2.27497
13.96,2.270086
13.98,2.27497
14,2.27497
14.02,2.284738
14.04,2.289622
14.06,2.284738
14.08,2.289622
14.1,2.29939
14.12,2.304274
14.14,2.29939
14.16,2.304274
14.18,2.304274
14.2,2.309158
14.22,2.314042
14.24,2.314042
14.26,2.314042
14.28,2.318926
14.3,2.328694
14.32,2.32381
14.34,2.328694
14.36,2.333578
14.38,2.338462
14.4,2.338462
14.42,2.343346
14.44,2.343346
14.46,2.353114
14.48,2.34823
14.5,2.353114
14.52,2.353114
14.54,2.357998
14.56,2.362882
14.58,2.362882
14.6,2.37265
14.62,2.37265
14.64,2.377534
14.66,2.377534
14.68,2.382418
14.7,2.392186
14.72,2.387302
14.74,2.387302
14.76,2.387302
14.78,2.39707
14.8,2.401954
14.82,2.401954
14.84,2.401954
14.86,2.411722
14.88,2.411722
14.9,2.411722
14.92,2.42149
14.94,2.42149
14.96,2.42149
14.98,2.426374
15,2.426374
15.02,2.431258
15.04,2.431258
15.06,2.436142
15.08,2.436142
15.1,2.450794
15.12,2.44591
15.14,2.455678
15.16,2.455678
15.18,2.455678
15.2,2.460562
15.22,2.465446
15.24,2.465446
15.26,2.460562
15.28,2.47033
15.3,2.47033
15.32,2.475214
15.34,2.480098
15.36,2.484982
15.38,2.489866
15.4,2.489866
15.42,2.49475
15.44,2.499634
15.46,2.499634
15.48,2.504518
15.5,2.499634
15.52,2.499634
15.54,2.504518
15.56,2.509402
15.58,2.514286
15.6,2.514286
15.62,2.51917
15.64,2.51917
15.66,2.528938
15.68,2.528938
15.7,2.533822
15.72,2.538706
15.74,2.538706
15.76,2.538706
15.78,2.54359
15.8,2.54359
15.82,2.548474
15.84,2.553358
15.86,2.558242
15.88,2.553358
15.9,2.563126
15.92,2.56801
15.94,2.56801
15.96,2.572894
15.98,2.572894
16,2.572894
16.02,2.577778
16.04,2.577778
16.06,2.587546
16.08,2.587546
16.1,2.587546
16.12,2.587546
16.14,2.59243
16.16,2.602198
16.18,2.607082
16.2,2.607082
16.22,2.607082
16.24,2.607082
16.26,2.61685
16.28,2.621734
16.3,2.621734
16.32,2.621734
16.34,2.621734
16.36,2.626618
16.38,2.631502
16.4,2.631502
16.42,2.64127
16.44,2.64127
16.46,2.64127
16.48,2.646154
16.5,2.646154
16.52,2.655922
16.54,2.655922
16.56,2.655922
16.58,2.655922
16.6,2.655922
16.62,2.66569
16.64,2.66569
16.66,2.670574
16.68,2.675458
16.7,2.685226
16.72,2.680342
16.74,2.685226
16.76,2.69011
16.78,2.69011
16.8,2.694994
16.82,2.699878
16.84,2.694994
16.86,2.694994
16.88,2.699878
16.9,2.704762
16.92,2.709646
16.94,2.719414
16.96,2.724298
16.98,2.71453
17,2.724298
17.02,2.724298
17.04,2.729182
17.06,2.734066
17.08,2.734066
17.1,2.734066
17.12,2.743834
17.14,2.734066
17.16,2.743834
17.18,2.743834
17.2,2.753602
17.22,2.758486
17.24,2.753602
17.26,2.758486
17.28,2.76337
17.3,2.768254
17.32,2.773138
17.34,2.768254
17.36,2.773138
17.38,2.773138
17.4,2.778022
17.42,2.782906
17.44,2.782906
17.46,2.792674
17.48,2.78779
17.5,2.797558
17.52,2.797558
17.54,2.802442
17.56,2.802442
17.58,2.807326
17.6,2.807326
17.62,2.807326
17.64,2.81221
17.66,2.81221
17.68,2.821978
17.7,2.821978
17.72,2.826862
17.74,2.826862
17.76,2.826862
17.78,2.841514
17.8,2.83663
17.82,2.841514
17.84,2.841514
17.86,2.841514
17.88,2.841514
17.9,2.851282
17.92,2.856166
17.94,2.856166
17.96,2.856166
17.98,2.865934
18,2.865934
18.02,2.870818
18.04,2.870818
18.06,2.875702
18.08,2.875702
18.1,2.875702
18.12,2.880586
18.14,2.88547
18.16,2.890354
18.18,2.890354
18.2,2.890354
18.22,2.890354
18.24,2.895238
18.26,2.905006
18.28,2.90989
18.3,2.90989
18.32,2.90989
18.34,2.914774
18.36,2.914774
18.38,2.914774
18.4,2.919658
18.42,2.924542
18.44,2.924542
18.46,2.929426
18.48,2.929426
18.5,2.939194
18.52,2.944078
18.54,2.948962
18.56,2.944078
18.58,2.944078
18.6,2.948962
18.62,2.953846
18.64,2.953846
18.66,2.95873
18.68,2.95873
18.7,2.963614
18.72,2.963614
18.74,2.968498
18.76,2.978266
18.78,2.978266
18.8,2.98315
18.82,2.98315
18.84,2.988034
18.86,2.98315
18.88,2.992918
18.9,2.992918
18.92,2.997802
18.94,2.997802
18.96,2.997802
18.98,3.002686
19,3.00757
19.02,3.017338
19.04,3.017338
19.06,3.017338
19.08,3.017338
19.1,3.022222
19.12,3.027106
19.14,3.027106
19.16,3.03199
19.18,3.03199
19.2,3.03199
19.22,3.041758
19.24,3.036874
19.26,3.041758
19.28,3.051526
19.3,3.051526
19.32,3.05641
19.34,3.05641
19.36,3.061294
19.38,3.061294
19.4,3.071062
19.42,3.066178
19.44,3.066178
19.46,3.066178
19.48,3.071062
19.5,3.08083
19.52,3.08083
19.54,3.085714
19.56,3.090598
19.58,3.090598
19.6,3.090598
19.62,3.095482
19.64,3.10525
19.66,3.10525
19.68,3.10525
19.7,3.10525
