time (s),V1 Potential 3,potential 2
10.42,-0.039380017,-3.58E-07
10.44,-1.191145584,-0.004884362
10.46,-1.767028368,-3.58E-07
10.48,-1.767028368,-3.58E-07
10.5,-0.039380017,-0.004884362
10.52,-0.039380017,-0.004884362
10.54,-1.191145584,-0.004884362
10.56,-2.342911152,-0.004884362
10.58,-1.191145584,-0.004884362
10.6,-0.6152628,-0.004884362
10.62,-0.039380017,-0.004884362
10.64,-0.6152628,-3.58E-07
10.66,-2.342911152,-0.004884362
10.68,-1.191145584,-0.004884362
10.7,0.536502767,-0.004884362
10.72,-0.039380017,-0.004884362
10.74,-0.6152628,-3.58E-07
10.76,-1.767028368,-0.009768367
10.78,-1.767028368,-0.004884362
10.8,1.688268335,-3.58E-07
10.82,2.264151119,-0.004884362
10.84,-1.767028368,-0.004884362
10.86,-3.49467672,-3.58E-07
10.88,-1.767028368,-0.004884362
10.9,1.112385551,-0.004884362
10.92,2.264151119,-0.004884362
10.94,-1.191145584,-3.58E-07
10.96,-4.070559504,-0.004884362
10.98,-2.342911152,-0.004884362
11,1.688268335,-3.58E-07
11.02,1.112385551,-0.004884362
11.04,-1.191145584,-3.58E-07
11.06,-3.49467672,-0.004884362
11.08,-2.918793936,-0.004884362
11.1,0.536502767,-0.004884362
11.12,2.264151119,-0.004884362
11.14,-1.767028368,-3.58E-07
11.16,-2.342911152,-0.004884362
11.18,-1.191145584,-0.004884362
11.2,-0.039380017,-0.004884362
11.22,-0.039380017,-0.004884362
11.24,-0.6152628,-0.004884362
11.26,-2.342911152,-0.004884362
11.28,-1.767028368,-0.004884362
11.3,-0.039380017,-0.004884362
11.32,-0.6152628,-0.004884362
11.34,-1.191145584,-0.004884362
11.36,-1.767028368,-3.58E-07
11.38,-2.342911152,-0.004884362
11.4,-0.039380017,-3.58E-07
11.42,0.536502767,-0.004884362
11.44,-1.191145584,-0.004884362
11.46,-2.342911152,-0.004884362
11.48,-1.191145584,-0.004884362
11.5,-0.6152628,-0.004884362
11.52,0.536502767,-0.004884362
11.54,-0.6152628,-0.004884362
11.56,-2.342911152,-0.004884362
11.58,-2.342911152,-0.004884362
11.6,-0.039380017,-0.004884362
11.62,1.688268335,-0.004884362
11.64,-1.191145584,-3.58E-07
11.66,-3.49467672,-0.004884362
11.68,-2.918793936,-0.004884362
11.7,1.112385551,-0.004884362
11.72,2.264151119,-0.004884362
11.74,-1.191145584,-0.004884362
11.76,-3.49467672,-0.004884362
11.78,-2.342911152,-3.58E-07
11.8,0.536502767,-0.004884362
11.82,1.688268335,-3.58E-07
11.84,-0.6152628,-0.004884362
11.86,-3.49467672,-0.004884362
11.88,-3.49467672,-0.004884362
11.9,1.112385551,-0.009768367
11.92,2.264151119,-0.004884362
11.94,-0.6152628,-3.58E-07
11.96,-3.49467672,-0.004884362
11.98,-1.191145584,-0.004884362
12,-0.6152628,-0.004884362
12.02,-0.039380017,-0.004884362
12.04,-0.6152628,-0.004884362
12.06,-2.342911152,-3.58E-07
12.08,-2.342911152,-0.004884362
12.1,-0.039380017,-0.004884362
12.12,-0.039380017,-0.004884362
12.14,-0.6152628,-0.004884362
12.16,-1.767028368,-0.009768367
12.18,-1.767028368,-0.004884362
12.2,-0.6152628,-0.004884362
12.22,0.536502767,-0.004884362
12.24,-1.191145584,-0.004884362
12.26,-1.767028368,-0.004884362
12.28,-1.767028368,-0.004884362
12.3,-0.6152628,-0.004884362
12.32,-0.039380017,-0.004884362
12.34,-0.6152628,-0.004884362
12.36,-2.342911152,-0.004884362
12.38,-2.342911152,-0.004884362
12.4,-0.039380017,-0.004884362
12.42,1.688268335,-0.004884362
12.44,-0.6152628,-3.58E-07
12.46,-2.918793936,-0.004884362
12.48,-2.918793936,-0.004884362
12.5,0.536502767,-0.004884362
12.52,2.264151119,-0.004884362
12.54,-0.039380017,-0.004884362
12.56,-3.49467672,-0.004884362
12.58,-3.49467672,-3.58E-07
12.6,0.536502767,-0.004884362
12.62,1.688268335,-0.004884362
12.64,-0.039380017,-0.004884362
12.66,-2.918793936,-0.004884362
12.68,-3.49467672,-0.004884362
12.7,0.536502767,-0.004884362
12.72,2.264151119,-3.58E-07
12.74,-0.6152628,-0.004884362
12.76,-2.918793936,-0.004884362
12.78,-1.767028368,-0.004884362
12.8,-1.191145584,-3.58E-07
12.82,-0.039380017,-0.004884362
12.84,-0.6152628,-0.004884362
12.86,-2.342911152,-0.004884362
12.88,-2.342911152,-0.004884362
12.9,-0.039380017,-0.004884362
12.92,-0.039380017,-0.004884362
12.94,-0.6152628,-0.004884362
12.96,-1.191145584,-3.58E-07
12.98,-2.342911152,-3.58E-07
13,-0.6152628,-3.58E-07
13.02,0.536502767,-3.58E-07
13.04,-0.6152628,-0.004884362
13.06,-1.767028368,-0.004884362
13.08,-1.767028368,-3.58E-07
13.1,-1.191145584,-0.004884362
13.12,-0.039380017,-0.004884362
13.14,-0.6152628,-3.58E-07
13.16,-2.342911152,-0.004884362
13.18,-2.342911152,-0.009768367
13.2,-0.6152628,-0.004884362
13.22,1.688268335,-0.004884362
13.24,-0.039380017,-0.004884362
13.26,-2.918793936,-0.004884362
13.28,-2.918793936,-3.58E-07
13.3,-0.6152628,-0.004884362
13.32,2.264151119,-0.004884362
13.34,-0.039380017,-0.004884362
13.36,-3.49467672,-0.004884362
13.38,-3.49467672,-0.004884362
13.4,-0.039380017,-3.58E-07
13.42,1.688268335,-0.004884362
13.44,-0.039380017,-0.004884362
13.46,-2.918793936,-0.004884362
13.48,-3.49467672,-0.004884362
13.5,-0.039380017,-0.004884362
13.52,2.264151119,-0.004884362
13.54,-0.039380017,-3.58E-07
13.56,-2.918793936,-0.004884362
13.58,-3.49467672,-0.004884362
13.6,-0.6152628,-0.004884362
13.62,0.536502767,-0.004884362
13.64,-0.039380017,-0.004884362
13.66,-2.342911152,-0.004884362
13.68,-2.342911152,-0.004884362
13.7,-0.6152628,-0.004884362
13.72,-0.039380017,-0.004884362
13.74,-0.039380017,-0.004884362
13.76,-1.191145584,-3.58E-07
13.78,-2.342911152,-0.004884362
13.8,-0.039380017,-0.004884362
13.82,0.536502767,-3.58E-07
13.84,-0.6152628,-0.004884362
13.86,-1.191145584,-3.58E-07
13.88,-1.767028368,-0.004884362
13.9,-1.191145584,-0.009768367
13.92,0.536502767,-0.004884362
13.94,-0.6152628,-0.004884362
13.96,-2.342911152,-0.004884362
13.98,-2.342911152,-0.004884362
14,-0.6152628,-3.58E-07
14.02,-0.039380017,-0.004884362
14.04,-0.039380017,-0.004884362
14.06,-2.342911152,-0.004884362
14.08,-4.070559504,-0.004884362
14.1,-0.6152628,-0.004884362
14.12,2.264151119,-0.004884362
14.14,-0.039380017,-0.004884362
14.16,-2.918793936,-0.004884362
14.18,-3.49467672,-0.004884362
14.2,-1.191145584,-0.004884362
14.22,1.688268335,-0.004884362
14.24,0.536502767,-0.009768367
14.26,-2.918793936,-3.58E-07
14.28,-4.070559504,-0.004884362
